Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
24.16,-87.98,91.95,-4.09,155.01,-4.84
24.16,-87.98,91.95,-33.05,140.8,-37.54
24.16,-87.98,91.95,-25.16,147.52,-22.49
,,,,,
18.75,-82.46,90.51,-25.16,147.52,-22.49
18.75,-82.46,90.51,-13.98,142.81,0.61
18.75,-82.46,90.51,-34.05,132.44,7.4
,,,,,
24.41,-87.88,94.17,-34.05,132.44,7.4
24.41,-87.88,94.17,-34.05,139.07,-23.14
24.41,-87.88,94.17,-34.05,139.07,3.17
,,,,,
34.33,-90.05,98.59,-34.05,148.12,1.14
34.33,-90.05,98.59,-33.77,142.55,9.78
34.33,-90.05,98.59,-42.78,147.86,-16.53
